裁定ID,該当カード,内容
1,AA-1/AA-2/AA-3/AA-4/AA-5/BA-28/BA-38/,◆登場条件で、センターにいるArtistを含めて2枚をトラッシュしたとき、そのカードをセンターでない方の場所に出すこともできます。その際、登場時効果を処理した後に、任意のArtistをセンターに移動させます。
2,AA-10/BA-1/BA-7/BA-9/BA-10/BA-47/exA-5/BS-7/BM-5/BM-6/BS-13/,◆「該当タイプを含む2色Songカード」や、「ALLタイプのSongカード」は、効果の対象外です。
3,AA-19/,◆（Standby状態でないなら）同じArtistの能力を、1ターンに2回以上指定、使用することもできます。
4,AA-19/,◆『【Heliotrope】ヰ世界情緒』のような、「Active状態なら発動する」効果（いわゆる常在効果）も使用可能です。なお、ターン終了時に該当効果は消失します。
5,AA-19/,◆『【きりがないの】幸祜』のような、「XXした直後に発動する」効果（いわゆる誘発効果）も使用可能です。この場合、「XXした直後」に『【浅黄】春猿火』の効果で指定することで使用できます。ただし、「手札からステージに出たときに使える」効果は使用できません。
6,AA-23/,◆この特殊能力は、正面に相手のArtistがいなければ使用できません。
7,AA-23/,◆「特殊能力がなくなる」効果発動中、正面のArtistが入れ替わった場合、新しいArtistの特殊能力が無くなります。
8,AA-23/,◆「特殊能力がなくなる」効果発動中、正面のArtistの特殊能力は『【浅黄】春猿火』の特殊能力で使用できなくなります。
9,AA-19/AA-23/,◆「特殊能力がなくなる」効果発動中、正面に新しく登場したArtistの「手札からステージに出たとき、…」のような特殊能力も発動しません。これには『【はじめまして】ヰ世界情緒』のような「Active状態で出すことができる」能力も含まれます。 
10,AA-35/BA-43/BD-1/,◆相手のターン中や、相手のカードの効果で自分が振ったサイコロは、この効果の対象です。
11,AA-35/BA-43/BD-1/,◆相手が振ったサイコロは、この効果の対象外です。
12,AS-5/AS-6/,◆該当魔力が4個の状態で使用したとき、サイコロを振ります。
13,AS-12/BA-47/BM-8/,◆トラッシュから、必ず1枚は選択してください。
14,AS-17/,◆トラッシュするArtistは、それぞれ持ち主が選びます。
15,AS-17/,◆相手プレイヤーが4人になるまでトラッシュした後、自分が4人になるまでトラッシュします。
16,AM-1/,◆手札がこのカード1枚のみでも、山札が1枚以上あれば使用できます。
17,AM-1/,◆手札があり、山札が0枚でも、使用できます。
18,AM-1/,◆手札がこのカード1枚のみかつ、山札が0枚のとき、使用できません。
19,AM-4/,◆魔力Ωが4個以上でも使用できます。
20,AM-3/BA-11/,◆自身と相手どちらか、あるいは両方の手札が(このカードを除いて)0枚の時でも、使用できます。
21,AM-7/,◆「消費する魔力αの数がX個多くなる/少なくなる」効果を受けます。その際、サイコロを振る回数は増減前の個数を参照します。
22,exA-1/exA-4/,◆「該当タイプを含む2色Songカード」や、「ALLタイプのSongカード」は、追加コストは必要ありません。
23,exM-1/AA-25/AA-31/,◆「いずれかの魔力を〇個消費する。」効果は、魔力αを選択した際、「魔力αを使用するMagic」として認識されます。魔力β、魔力Ωも同様です。
24,exM-1/AA-25/AA-31/BA-13/BA-16/BA-35/,◆「いずれかの魔力を〇個消費する。」効果は、魔力αを選択した際、「消費する魔力αが〇個多くなる/少なくなる」効果を受けます。魔力β、魔力Ωも同様です。
25,BA-2/,◆装備Magicが複数枚付いているなら、1度の効果で、それら全てをトラッシュします。
26,BA-14/,◆ステージ上の、Artistがいない場所にArtistを移動させることはできません。
27,BA-16/,◆この特殊能力は、使用するMagic1枚のみに働きます。
28,BA-17/BA-46/BA-49/,◆増減の結果として、ダイスの目は0以下や7以上の数として扱えます。
29,BA-22/,◆このカードをステージに出すとき、他のArtistをトラッシュしていた場合、そのArtistも効果対象です。
30,BA-27/BA-37/,◆2つの装備Magicが同時に発動した場合、どちらから効果を使うかは任意です。
31,BA-33/,◆効果を使用し追加のターンを獲得できなくても、次のターンには使用できません。
32,BA-33/,◆別の『【超常現象】CHINO』が効果を使っても、次のターンには使用できません。
33,BA-39/BA-40/,◆相手の使用する「相手のArtistの特殊能力はなくなる」効果を無効化できます。
34,BA-39/BA-40/BM-15/,◆『【閉鎖された摩天楼】夜光を呼ぶ』によるトラッシュを防げますが、その後、4人になるまでさらにトラッシュしなければなりません。
35,BA-45/,◆自分の山札のみ対象です。
36,BA-45/,◆このカードの効果により、山札をトラッシュする効果が実行できない場合、「効果の失敗」として扱います。（例えば、『刻印』が使用できなくなります。）
37,BA-45/CA-13,◆耐性効果が働いているとき、「山札の上から〇枚を見て、×枚をトラッシュし、残りを山札の上に置く」カードは使用宣言が可能です。その際「山札を見る」→「トラッシュしようとするけどできないので山上に戻す」→「残りを山上に戻す」挙動となります。
38,BS-6/BS-11-BS-35/BS-37/,◆相手の山札の一番上のカードをVOLノイズとして置きます。
39,BS-22/,◆VOLノイズに関係なく、減少効果を発動します。
40,BS-25/,◆相手のArtist同士を入れ替えます。
41,BM-3,◆手札が（使用するカードを除いて）0枚のとき、使用できません。
42,BM-10/,◆エラッタ：「……山札から白タイプのArtistを1枚選んで相手に見せて手札に加える。……」
43,BM-15/AS-17/,◆『【閉鎖された摩天楼】夜光を呼ぶ』のトラッシュは『望みの強さ』をトラッシュして防げます。ただし、Artistの数が4人以下になっていないため、再度Artistをトラッシュする必要があります。
44,BM-15/BM-16/BM-17/BM-23/DA-18/DA-19/DA-23/prmM-1,◆一度効果を発動しても、トラッシュには移動せず、Artistに装備したままです。
45,BM-16/prmM-1,◆追加のSongカードは、最初のSongカードの効果の処理が終わった後に使用できます。
46,BM-16/prmM-1,◆何らかの形で1枚目のSongカードの効果で手札に加えたSongカードは、追加のSongカードとして使用可能です。
47,BM-16/prmM-1,◆『新世界のエネルギー』が複数枚付いている場合、その枚数分追加でSongカードを使用できます。なお、その途中で手札に加えたSongカードも使用可能です。
48,BM-17/BA-38/BA-28/,◆Songカードの効果で魔力βを1個、「かたちなきかたち」の効果でさらに魔力βを1個生成した場合、「1枚のカードで魔力βを2個以上獲得する」に含まれません。
49,BM-16/BM-20/prmM-1,◆『新世界のエネルギー』がついている、1枚もSongカードを使用していない「春猿火」に『咲き乱れるフューチャー』を使用した時、その後2枚目を使用できます。
50,BM-16/BM-20/prmM-1,◇『新世界のエネルギー』がついている、1枚Songカードを使用した「春猿火」を対象に『咲き乱れるフューチャー』は使用できません。
51,BM-17/BM-23,◆1枚のSongカードの効果で該当魔力を2個以上、2回以上生成しても、効果は1回しか発動しません。
52,BM-21/,◆対象Artistがステージにいないとき、使用できません。
53,BM-21/,◆魔力αが2個未満のとき、使用できません。
54,BM-23/,◆この効果は、条件を満たしていても、使用しないことを選ぶことができます。
55,BM-23/AS-7/,◆『オメガハーモニー』を付けたセンターのArtistが『【繋がり】祭壇』を使用するとき、通常の効果 → センター効果 →『オメガハーモニー』の効果　の順に処理します。
56,BD-1/,◆効果でサイコロを振り直したり、サイコロの目を増減した場合、振り直し、増減後のサイコロのみが『ナンバーファイブ』の効果の対象です。
57,BD-1/BS-22/,◆一度の効果で2回以上サイコロを振り、その結果『ナンバーファイブ』で2点以上のVOLを獲得するとき、『【憂愁】熱愛フローズン』の対象になります。
58,BD-2/,◆カウントは、ターン毎にリセットされます。
59,BD-2/,◆カウントは、設置してある間のみカウントされ、何らかの方法で場から離れたとき、カウントはリセットされます。
60,BD-2/,◆4枚目のSongの効果で『メドレータイム』が場から離れたとき、効果は発動しません。
61,BD-2/,◆カウントが8、あるいはそれ以上になっても、VOLは得られません。
62,BD-3/BD-4/BD-5/BD-6/BD-7/BD-8/,◆自身の効果でトラッシュしたターン中、同じカードを設置、使用することができます。
63,BD-9/,◆装備タイプのMagicも対象です。なお、「場の装備Magicが効果を発動する」タイミングで反応します。
64,BD-9/,◆サイコロで3以下が出た時、「その後」前なども含めて全ての効果が発動しません。
65,BD-11/,◇補足：「相手はカードの効果で『相手自身』のArtistの位置を変更できない。（相手のArtistを妨害する効果）」です。
66,DA-29/DA-30/DA-48/DA-50/,◆2つ名のみ違う同名Artist(例：『【〇〇】花譜』と『【××】花譜』)をトラッシュすることで出すことはできません。
67,DA-38/,◆Songカードの通常の効果により、魔力βが同値以上になった場合、センター効果は発動しません。
68,DA-44/,◆「勝利までのVOLの点数」に、VOLノイズはカウントされません。
69,CA-15/,◆Songカードのメイン効果でセンターに移動させた際、そのSongのセンター効果は発動します。
70,BM-20/,◆春猿火が使用できないSong（タイプ違いなど）を使用させることはできません。
71,AA-25/BA-16/,◆装備タイプのMagicカードにも、コスト増減は働きます。
72,DD-8/,◆効果発動中、VOLノイズを増やすのみのカード（『【みだりなかくしごと】私的』を含む）は使用できません。
73,DS-1/,◆持続するSongカードを使用しているArtistもカウント対象です。
74,DM-7/,◆ArtistとSongの両方がトラッシュに無い場合、使用できません。
75,DM-7/,◆ArtistとSongの片方のみを戻すことはできません。
76,ES-3/ED-2/,◆Artistがトラッシュされる度に『セントラル・仮設司令室』の効果で強制的に手札に加えます。そのため、センター効果で新しくトラッシュしたArtistをステージに出すことはできません。
77,EM-7/,◆1枚のMagicに対し、2枚以上の『リリカルウィーブ』は使用できません。
78,EM-7/DS-17/,◆無効化したMagicは使用したと見なされ、『【地獄でもいいんじゃない？】弔花』の効果が働きます。
79,EM-7/BD-9/GD-4/,◆強制効果（『言霊の魔力』）→任意効果（『リリカルウィーブ』/『参番街・教会前』）の順に発動します。
80,EM-7/BD-9/GD-4/,◆『言霊の魔力』や『参番街・教会前』のサイコロの結果を見てから、別のカードの発動を宣言できます。
81,GM-17/,◆相手のSongカードがついているArtist全てをトラッシュします。
82,GM-17/,◆任意の対象（SongカードがついているArtist3人中の2人など）のみの破壊はできません。
83,GM-17/BM-15/,◆『望みの強さ』をトラッシュすることで、ついているSongなどを含めて防御できます。
84,GA-17/GA-26/GA-37/,◆「山札の上〇枚を見て1枚を手札に加え、残りをトラッシュする」効果でトラッシュした場合、効果は発動します。
